timestamp,time_in_event,name,username,text
"July 7th 2020, 1:58:52 pm UTC",-299s,Greg,greg8653,"Spock, did everyone make the trip"
"July 7th 2020, 1:59:14 pm UTC",-277s,"Kar'retta Venable",usercb86a286,I had to change sessions
"July 7th 2020, 1:59:43 pm UTC",-248s,Raha Dastgheyb,raha,lol @ Greg!
"July 7th 2020, 1:59:54 pm UTC",-237s,"Kar'retta Venable",usercb86a286,the beam left me behind
"July 7th 2020, 2:00:08 pm UTC",-223s,Yuvkaran Gahley,user46f7b25f,Hi All
"July 7th 2020, 2:00:40 pm UTC",-191s,Xavier,xavier9656,Hello from France ! tea time here !
"July 7th 2020, 2:00:43 pm UTC",-188s,Wenge,wenge,can I run this tutorial on binder?
"July 7th 2020, 2:00:52 pm UTC",-179s,SciPy Logistics,scipylogistics,@Wenge. Yes!
"July 7th 2020, 2:00:54 pm UTC",-177s,Murchhana,murchhana,Hello
"July 7th 2020, 2:01:05 pm UTC",-166s,Jill C,jillc9635,"Sorry, we can't automatically pull everyone in because it would also pull in the dask tutorial"
"July 7th 2020, 2:01:05 pm UTC",-166s,Nupur,nupur6495,Hi!!
"July 7th 2020, 2:01:11 pm UTC",-160s,Charles,charles2328,Hello from Nova Scotia!
"July 7th 2020, 2:01:24 pm UTC",-147s,Ben,ben4428,"exactly midnight in Melbourne. First day of our 'new' 6 week lockdown :muscle:"
"July 7th 2020, 2:01:27 pm UTC",-144s,SciPy Logistics,scipylogistics,"We'll be live in just a minute!"
"July 7th 2020, 2:01:29 pm UTC",-142s,Chris,chris2852,Hello from Kansas City
"July 7th 2020, 2:01:31 pm UTC",-140s,Bob,bob4868,Comfortably numpy in Austin
"July 7th 2020, 2:01:45 pm UTC",-126s,Raluca,raluca2196,Hello from North Carolina
"July 7th 2020, 2:01:46 pm UTC",-125s,Nichole H.,usercff13136,"Morning, from San Jose"
"July 7th 2020, 2:01:52 pm UTC",-119s,Mike Trizna,miketrizna7363,"Good morning from Washington, DC"
"July 7th 2020, 2:01:54 pm UTC",-117s,Dershan,dershan,Hello!:wave:
"July 7th 2020, 2:02:08 pm UTC",-103s,Pingping,pingping,has the session started? I see nothing
"July 7th 2020, 2:02:17 pm UTC",-94s,Connor,connor1351,"South Bend says good morning, baby"
"July 7th 2020, 2:02:19 pm UTC",-92s,Amanda Reeder,user4b8d1805,saem
"July 7th 2020, 2:02:22 pm UTC",-89s,Amanda Reeder,user4b8d1805,same...
"July 7th 2020, 2:02:28 pm UTC",-83s,Matthew,matthew3535,"good morning from Bowie, Maryland"
"July 7th 2020, 2:02:36 pm UTC",-75s,Alexandre,alexandre5152,it is about to start @Pingping
"July 7th 2020, 2:02:36 pm UTC",-75s,Linshan,linshan2629,Hello from Georgia!
"July 7th 2020, 2:02:37 pm UTC",-74s,Ryan Wang,ryan21116456,Morning from Pennsylvania!
"July 7th 2020, 2:02:38 pm UTC",-73s,Christopher,christopher9416,Good morning from WV
"July 7th 2020, 2:02:58 pm UTC",-53s,JIAYI,jiayi3556,Good morning from VA.
"July 7th 2020, 2:03:19 pm UTC",-32s,Shubham,shubham7982,"Good evening from Delhi, India"
"July 7th 2020, 2:03:26 pm UTC",-25s,Perry Shafran,user9b496260,"Howdy folks!  Let's do some numpy!"
"July 7th 2020, 2:04:12 pm UTC",21s,Vincent,vincent8886,"Hello from San Antonio, TX"
"July 7th 2020, 2:04:12 pm UTC",21s,"Kar'retta Venable",usercb86a286,Good Morning from Georigia
"July 7th 2020, 2:04:22 pm UTC",31s,Ana,ana6392,afternoon!
"July 7th 2020, 2:04:28 pm UTC",37s,Charles,charles2328,Hi Alex and Eric!
"July 7th 2020, 2:04:29 pm UTC",38s,Vincent,vincent8886,2nd breakfast!
"July 7th 2020, 2:04:46 pm UTC",55s,Wenge,wenge,can we run this tutorial from binder?
"July 7th 2020, 2:04:52 pm UTC",61s,Perry Shafran,user9b496260,"Hi, Matt Davis!  Thanks for all your help earlier!"
"July 7th 2020, 2:05:24 pm UTC",93s,SciPy Logistics,scipylogistics,"@wenge, yes, use this link: https://mybinder.org/v2/gh/enthought/Numpy-Tutorial-SciPyConf-2020/master"
"July 7th 2020, 2:05:27 pm UTC",96s,Greg,greg8653,Good morning
"July 7th 2020, 2:06:24 pm UTC",153s,Jill C,jillc9635,If your video lags try selecting get audio/video help in the bottom left corner of your screen and select compatibility mode.
"July 7th 2020, 2:06:32 pm UTC",161s,Mohammed,mohammed4780,if there a github to  run it locally?
"July 7th 2020, 2:07:05 pm UTC",194s,Alayonimi,alayonimi,How to get the slides please?
"July 7th 2020, 2:07:08 pm UTC",197s,Madelyn,madelyn2209,https://github.com/enthought/Numpy-Tutorial-SciPyConf-2020
"July 7th 2020, 2:07:16 pm UTC",205s,Mohammed,mohammed4780,Thank you
"July 7th 2020, 2:07:25 pm UTC",214s,SciPy Logistics,scipylogistics,The slides are in the Github repo above.
"July 7th 2020, 2:07:41 pm UTC",230s,Alayonimi,alayonimi,Thank you
"July 7th 2020, 2:08:52 pm UTC",301s,Lydia,lydia8615,can you please make the size of the text larger?
"July 7th 2020, 2:08:55 pm UTC",304s,Ben,ben4428,"The resolution isn't crash hot for sharing whole screen."
"July 7th 2020, 2:08:55 pm UTC",304s,Alyssa,alyssa3689,"it's tough to read the command window"
"July 7th 2020, 2:09:03 pm UTC",312s,Kira,kira9077,sorry but thats much too small and low res to see
"July 7th 2020, 2:09:04 pm UTC",313s,Eric Winter,usere25d48e4,Can you make the font bigger
"July 7th 2020, 2:09:27 pm UTC",336s,Mike Trizna,miketrizna7363,Much better!
"July 7th 2020, 2:10:53 pm UTC",422s,Srinivas,user48664e67,which file should i open for this tutorial please?
"July 7th 2020, 2:11:36 pm UTC",465s,Shastri,shastri4939,How does it work on Jupyter?
"July 7th 2020, 2:11:40 pm UTC",469s,SciPy Logistics,scipylogistics,@Srinivas: no file right now.
"July 7th 2020, 2:11:50 pm UTC",479s,Shastri,shastri4939,Do we need to use %matplotlib qt?
"July 7th 2020, 2:12:02 pm UTC",491s,SciPy Logistics,scipylogistics,"If you're in Jupyter, type ""%matplotlib inline"" instead of ""%matplotlib qt"""
"July 7th 2020, 2:12:27 pm UTC",516s,Ty,user540fdaf9,%matplotlib notebook is a fun one too
"July 7th 2020, 2:13:00 pm UTC",549s,Perry Shafran,user9b496260,Can you make the slides larer?
"July 7th 2020, 2:13:01 pm UTC",550s,Wenge,wenge,"If I use Jupternotebook, do I still need QT? Had trouble to install qt."
"July 7th 2020, 2:13:05 pm UTC",554s,Perry Shafran,user9b496260,larger?
"July 7th 2020, 2:13:52 pm UTC",601s,Shastri,shastri4939,In jupyter it does not show figure window inline when I put in %matplotlib inlines
"July 7th 2020, 2:13:56 pm UTC",605s,Shastri,shastri4939,inline
"July 7th 2020, 2:14:07 pm UTC",616s,Daniel,daniel2900,Use qt instead and see if it works
"July 7th 2020, 2:14:10 pm UTC",619s,Richard,richard9597,should be %matplotlib notebook
"July 7th 2020, 2:14:20 pm UTC",629s,Carrie,userc40bf52e,All I get in my jupyter notebook is <Figure size 432x288 with 0 Axes>
"July 7th 2020, 2:14:30 pm UTC",639s,SciPy Logistics,scipylogistics,"""%matplotlib notebook"" and ""%matplotlib inline"" will both work."
"July 7th 2020, 2:15:06 pm UTC",675s,Shastri,shastri4939,Not working
"July 7th 2020, 2:15:08 pm UTC",677s,Matt Davis,jiffyclub,"I don't think you will expect anything to show up in the Notebook at this point. Not until running plt.show() I think."
"July 7th 2020, 2:15:30 pm UTC",699s,SciPy Logistics,scipylogistics,"@Carrie: In a cell at the top of your notebook, type ""%matplotlib inline"" and then run the cell, and in a new cell try ""import  matplotlib.pyplot as plt"
"July 7th 2020, 2:15:41 pm UTC",710s,SciPy Logistics,scipylogistics,"plt.plot([1, 5, 2])"
"July 7th 2020, 2:15:50 pm UTC",719s,Nupur,nupur6495,%matplotlib qt not working on Mac
"July 7th 2020, 2:15:58 pm UTC",727s,Shastri,shastri4939,I am using plt.figure()
"July 7th 2020, 2:16:13 pm UTC",742s,Rich,rich6652,try without the qt Nupur
"July 7th 2020, 2:16:25 pm UTC",754s,Chris M,user3ee0de94,what was t again
"July 7th 2020, 2:16:52 pm UTC",781s,Damon,damon7324,"yeah, can you show t = again?"
"July 7th 2020, 2:16:55 pm UTC",784s,Matt Davis,jiffyclub,"With %matplotlib inline I also get <Figure size 432x288 with 0 Axes>, so that's expected."
"July 7th 2020, 2:16:57 pm UTC",786s,Dershan,dershan,Can we go back a couple commands to get t?
"July 7th 2020, 2:17:01 pm UTC",790s,Nupur,nupur6495,No it says syntax error
"July 7th 2020, 2:17:01 pm UTC",790s,Stephen,usera4e1c52c,"t = np.linspace(0, 2*np.pi, 50)"
"July 7th 2020, 2:17:03 pm UTC",792s,Rob,rob8349,"t = np.linspace(0, 2*np.pi, 50)"
